rock_out,featset,hidden,act,alpha,inner_mape
r11,md_zeta9,"(24, 12, 6)",tanh,1.0,28.21259762912495
r11,md_zeta9,"(24, 12, 6)",tanh,2.0,28.133734213386298
r11,md_zeta9,"(24, 12, 6)",tanh,3.0,26.517714697094775
r11,md_zeta9,"(24, 12, 6)",tanh,5.0,25.813869461678365
r11,md_zeta9,"(24, 12, 6)",tanh,10.0,30.54847812004054
r11,md_beta9,"(8,)",tanh,0.5,50.74947219360875
r11,md_beta9,"(8,)",tanh,1.0,43.1862072640122
r11,md_beta9,"(8,)",tanh,2.0,39.69372108605032
r11,md_beta9,"(8,)",tanh,3.0,39.6979466251231
r11,md_beta9,"(8,)",tanh,5.0,36.07177568876477
r11,md_beta9,"(8,)",tanh,10.0,40.513507788175616
r11,md_beta9,"(12,)",tanh,0.5,47.5535370966869
r11,md_beta9,"(12,)",tanh,1.0,43.23714537502593
r11,md_beta9,"(12,)",tanh,2.0,38.95941955627851
r11,md_beta9,"(12,)",tanh,3.0,38.48609478292962
r11,md_beta9,"(12,)",tanh,5.0,36.5454103201188
r11,md_beta9,"(12,)",tanh,10.0,40.41437527214361
r11,md_beta9,"(4, 2)",tanh,0.5,49.73034646519233
r11,md_beta9,"(4, 2)",tanh,1.0,45.64386356663549
r11,md_beta9,"(4, 2)",tanh,2.0,40.89117092800308
r11,md_beta9,"(4, 2)",tanh,3.0,40.73495408461628
r11,md_beta9,"(4, 2)",tanh,5.0,37.68761857352585
r11,md_beta9,"(4, 2)",tanh,10.0,39.26578066165643
r11,md_beta9,"(6, 3)",tanh,0.5,47.345184066014106
r11,md_beta9,"(6, 3)",tanh,1.0,45.83732539287992
r11,md_beta9,"(6, 3)",tanh,2.0,44.35560388364319
r11,md_beta9,"(6, 3)",tanh,3.0,38.39336434823374
r11,md_beta9,"(6, 3)",tanh,5.0,39.51529052057179
r11,md_beta9,"(6, 3)",tanh,10.0,38.28443291014131
r11,md_beta9,"(8, 4)",tanh,0.5,49.103039592895584
r11,md_beta9,"(8, 4)",tanh,1.0,48.96252191666301
r11,md_beta9,"(8, 4)",tanh,2.0,44.8620592535501
r11,md_beta9,"(8, 4)",tanh,3.0,40.251234607583385
